Factory_ID,English_Name,Italian_Name,Factory_Description,Opening_Year,Closing_Year,O_Date_Source,C_Date_Source,Closing_Reason,C_Reason_Source,Cover_Image_ArcGIS_URL
3,Molino Stucky,Ditta G. Stucky,"52 employees and 197 workers when it closed
Considered one of the largest mills in Europe, with its production of 500 quintals of wheat and 250 quitals of pasta per day (page 70)
- Week long strike during 29 April 1919
Salary improvements and limited working hours to 8 hours a day (page 57)",1884.0,1957.0,"Lando, 2023, p. 11","Lando, 2023, p. 40","Closed after WWII because ships were becomming too large to access the canals and were no longer the main shipping source. Port access was once their main advantage, but became a problem since there were no trains that they could load nearby.","Pietro Lando. Interview, 2024.",https://serendpt.maps.arcgis.com/sharing/rest/content/items/384173a86cb841c98c3c1bacca21bc38/data
4,Trevisan,Ditta Trevisan,"Large sawmill; constructed the beams for Academia bridge in 1961 (citation 91). Trevisan manufactured wheelbarrows, trolleys and carts of all types. All the carts we see in Venice and on the Lido came out of the factory (Bonfanti, 1930  p. 302)",1930.0,1970.0,"Lando, 2023, p. 13, Da San Biagio a calle dell’Accademia dei nobili: l’Europa industriale alla Giudecca, citation 90","Lando, 2023, p. 14, Da San Biagio a calle dell’Accademia dei nobili: l’Europa industriale alla Giudecca, citation 91",,,https://serendpt.maps.arcgis.com/sharing/rest/content/items/b831fb9f0f334f50916b9219dc3c1344/data
5,Fortuny,Ditta Fortuny,"A long two-story building built in 1909, expanded in 1927-28. The only currently active factory on Giudecca.",1919.0,9999.0,"Lando, 2023, p. 13 Da San Biagio a calle dell’Accademia dei nobili: l’Europa industriale alla Giudecca citation 86
https://fortuny.visitmuve.it/it/il-museo/sede/mariano-fortuny-y-mandrazo/","Lando, 2023, p. 13 Da San Biagio a calle dell’Accademia dei nobili: l’Europa industriale alla Giudecca (86)
https://fortuny.visitmuve.it/it/il-museo/sede/mariano-fortuny-y-mandrazo/",Still open today (2024),"Lando, 2023, p. 13 Da San Biagio a calle dell’Accademia dei nobili: l’Europa industriale alla Giudecca (No citation number)
https://fortuny.visitmuve.it/it/il-museo/sede/mariano-fortuny-y-mandrazo/",https://serendpt.maps.arcgis.com/sharing/rest/content/items/d17a6384bd0c4cf6ad4e163eb3331e67/data
6,Venetian Distillary Society,Società Distilleria Veneziana,"Built in 1902, The first Giudecchino factory in the style of the Stucky (Lando, 2023, p. 12 'Da San Biagio a calle dell’Accademia dei nobili: l’Europa industriale alla Giudecca') After closing to install safety works, the company changed its name to Societa Birra San Marco in 1908. In the early 20th century, Societa Birra San Marco financed the prizes for rowing regattas (Lando, 2023, p. 3).",1902.0,1906.0,"Da San Biagio a calle dell’Accademia dei nobili: l’Europa industriale alla Giudecca (Lando, 2023, p. 12) citation 79 https://www.birravenezia.it/storia","Lando, 2023, p. 12 Da San Biagio a calle dell’Accademia dei nobili: l’Europa industriale alla Giudecca, citation number 79, Pietro Lando. Interview, 2024.",The owners decide to move the liquor plant elsewhere and moved Biliotti brewery to the Giudecca. The building was temporarily closed to install safety works,"Lando, 2023, p. 12 Da San Biagio a calle dell’Accademia dei nobili: l’Europa industriale alla Giudecca, citation number 79-80",https://serendpt.maps.arcgis.com/sharing/rest/content/items/6803cef972a84f86b6d3c588dc6c3559/data
7,Pizzolotto,Ditta Pizzolotto,"Complex of multi-story buildings founded by S. Biagio; built in 1902, expanded 1908-1921 (Stampa: Tipografia Commerciale/Venezia, 1981)",1928.0,1972.0,"Lando, 2023, p. 31 1918-1940: anche alla Giudecca cambia tutto 
 (242)","Lando, 2023, p. 47 Signori, si chiude (396)",Closed as a result of the declining industrial presence in the Giudecca,"Lando, 2023, p. 46, Signori, si chiude",https://serendpt.maps.arcgis.com/sharing/rest/content/items/d724ad9ce1004a1f8112ad63e56ea114/data
8,Mazzega Moro,Mazzega Moro,"Largest stable in the Giudecca, farm (Lando, 2023, p. 14, Da San Biagio a calle dell’Accademia dei nobili: l’Europa industriale alla Giudecca, (92)), capable of hosting up to 130 cows (Lando, 2023, p. 36, Ancora la guerra, (286)",1855.0,1935.0,"Lando, 2023, p. 14 Da San Biagio a calle dell’Accademia dei nobili: l’Europa industriale alla Giudecca (92)","Lando, 2023, p. 36 Ancora la guerra (286)",,,https://serendpt.maps.arcgis.com/sharing/rest/content/items/253012f10e3b483eb460f9665a7f9fe5/data
9,Scalera Film,Film Scalera,Italian film production and distribution company.,1938.0,1952.0,https://en.wikipedia.org/wiki/Scalera_Film,"Lando, 2023, p. 37; Ancora la guerra (293)",Overwhelmed by financial difficulties,"Lando, 2023, p. 37, Ancora la guerra (293)",https://serendpt.maps.arcgis.com/sharing/rest/content/items/4efef55a5fe34be69b083918c3efc2dd/data
11,Scarpa di Mario Scarpa & Figli S.n.c.,Scarpa di Mario Scarpa & Figli S.n.c.,"Scarpa company, shipyard,  in business since the early 1900s, a large part of the construction site is not used, still open in 2024",1900.0,9999.0,,,Still open as of 2024,,https://serendpt.maps.arcgis.com/sharing/rest/content/items/4ea45458c5fe4c2eb0afc91722771dd8/data
12,Daniele Manin shipyard,Cantiere Daniele Manin,"originally, Naval shipyard, construction site and wood storage, now it is used today for cooperative for piling, boat mooring, etc., production and work cooperative has been transformed into a service cooperative to support the activity carried out by gondoliers, the category of workers who currently use our services the most",1997.0,9999.0,https://www.cantieredanielemanin.it/,https://www.cantieredanielemanin.it/,Still open as of 2024,,https://serendpt.maps.arcgis.com/sharing/rest/content/items/47b8776d10a34b4384ea02c8895f058f/data
13,Pivato,Ditta Pivato,A Tannery that was used to shelter evicted people and known by the name of baracon or capanon in the 1920s.,1800.0,1920.0,,,,,https://serendpt.maps.arcgis.com/sharing/rest/content/items/ecc7f1c5ac204fb2a3e8f91edd19b87d/data
