Year,Population of Giudecca + Sacca Fisola,Source
1921,6623,https://www.comune.venezia.it/it/content/serie-storiche
1950,10553,https://www.comune.venezia.it/it/content/serie-storiche
1951,10469,https://www.comune.venezia.it/it/content/serie-storiche
1952,10575,https://www.comune.venezia.it/it/content/serie-storiche
1953,10679,https://www.comune.venezia.it/it/content/serie-storiche
1954,10784,https://www.comune.venezia.it/it/content/serie-storiche
1955,10899,https://www.comune.venezia.it/it/content/serie-storiche
1956,10946,https://www.comune.venezia.it/it/content/serie-storiche
1957,11021,https://www.comune.venezia.it/it/content/serie-storiche
1958,10767,https://www.comune.venezia.it/it/content/serie-storiche
1959,10845,https://www.comune.venezia.it/it/content/serie-storiche
1960,11113,https://www.comune.venezia.it/it/content/serie-storiche
1961,11120,https://www.comune.venezia.it/it/content/serie-storiche
1962,11624,https://www.comune.venezia.it/it/content/serie-storiche
1963,11431,https://www.comune.venezia.it/it/content/serie-storiche
1964,11242,https://www.comune.venezia.it/it/content/serie-storiche
1965,11123,https://www.comune.venezia.it/it/content/serie-storiche
1966,11098,https://www.comune.venezia.it/it/content/serie-storiche
1967,10880,https://www.comune.venezia.it/it/content/serie-storiche
1968,10642,https://www.comune.venezia.it/it/content/serie-storiche
1969,10445,https://www.comune.venezia.it/it/content/serie-storiche
1970,10332,https://www.comune.venezia.it/it/content/serie-storiche
1971,9853,https://www.comune.venezia.it/it/content/serie-storiche
1972,9668,https://www.comune.venezia.it/it/content/serie-storiche
1973,9419,https://www.comune.venezia.it/it/content/serie-storiche
1974,9307,https://www.comune.venezia.it/it/content/serie-storiche
1975,9099,https://www.comune.venezia.it/it/content/serie-storiche
1976,8937,https://www.comune.venezia.it/it/content/serie-storiche
1977,8784,https://www.comune.venezia.it/it/content/serie-storiche
1978,8649,https://www.comune.venezia.it/it/content/serie-storiche
1979,8489,https://www.comune.venezia.it/it/content/serie-storiche
1980,8330,https://www.comune.venezia.it/it/content/serie-storiche
1981,8230,https://www.comune.venezia.it/it/content/serie-storiche
1982,8190,https://www.comune.venezia.it/it/content/serie-storiche
1983,8072,https://www.comune.venezia.it/it/content/serie-storiche
1984,7787,https://www.comune.venezia.it/it/content/serie-storiche
1985,7630,https://www.comune.venezia.it/it/content/serie-storiche
1986,7551,https://www.comune.venezia.it/it/content/serie-storiche
1987,7559,https://www.comune.venezia.it/it/content/serie-storiche
1988,7459,https://www.comune.venezia.it/it/content/serie-storiche
1989,7321,https://www.comune.venezia.it/it/content/serie-storiche
1990,7188,https://www.comune.venezia.it/it/content/serie-storiche
1991,7118,https://www.comune.venezia.it/it/content/serie-storiche
1992,7050,https://www.comune.venezia.it/it/content/serie-storiche
1993,6912,https://www.comune.venezia.it/it/content/serie-storiche
1994,6800,https://www.comune.venezia.it/it/content/serie-storiche
1995,6703,https://www.comune.venezia.it/it/content/serie-storiche
1996,6588,https://www.comune.venezia.it/it/content/serie-storiche
1997,6430,https://www.comune.venezia.it/it/content/serie-storiche
2001,6426,https://www.comune.venezia.it/it/content/serie-storiche
2002,6283,https://www.comune.venezia.it/it/content/serie-storiche
2003,6312,https://www.comune.venezia.it/it/content/serie-storiche
2004,6244,https://www.comune.venezia.it/it/content/serie-storiche
2005,6234,https://www.comune.venezia.it/it/content/serie-storiche
2006,6332,https://www.comune.venezia.it/it/content/serie-storiche
2007,6292,https://www.comune.venezia.it/it/content/serie-storiche
2008,6242,https://www.comune.venezia.it/it/content/serie-storiche
2009,6277,https://www.comune.venezia.it/it/content/serie-storiche
2010,6276,https://www.comune.venezia.it/it/content/serie-storiche
2011,6218,https://www.comune.venezia.it/it/content/serie-storiche
2012,6166,https://www.comune.venezia.it/it/content/serie-storiche
2013,6052,https://www.comune.venezia.it/it/content/serie-storiche
2014,6055,https://www.comune.venezia.it/it/content/serie-storiche
2015,6004,https://www.comune.venezia.it/it/content/serie-storiche
2016,5898,https://www.comune.venezia.it/it/content/serie-storiche
2017,5811,https://www.comune.venezia.it/it/content/serie-storiche
2018,5776,https://www.comune.venezia.it/it/content/serie-storiche
2019,5670,https://www.comune.venezia.it/it/content/serie-storiche
2020,5544,https://www.comune.venezia.it/it/content/serie-storiche
2021,5412,https://www.comune.venezia.it/it/content/serie-storiche
2022,5343,https://www.comune.venezia.it/it/content/serie-storiche
2023,5246,https://www.comune.venezia.it/it/content/serie-storiche
