Factory_ID,New_Owner,Year_Started,Year_Ended,Source
3,Giovanni Stucky,1884,1910,
3,Giancarlo Stucky,1910,1955,
4,Emilio Trevisan,1902,1970,
5,Mariano Fortuny,1922,1949,
5,Elsie McNeill Lee,1949,1970,
5,Maged Riad,1988,,
6,Venezia Beer Company,[OPENING DATE],1930,
6,Dreher,1930,[CLOSING DATE],
18,Casimiro Gaggio,1922,1961,
19,Herion Brothers,1878,1914,
19,Arturo Junghans,1899,1914,
19,Italian Governmet,1914,1922,
19,Ottone Hauff,1922,1987,
19,Ferruzzi-Montedison group,1987,,
24,Vittorio Narduzzi,1915,1930,
